date,company,role,location,source,status,draft_path
8/24/26,Senacor Technologies AG,"Masterarbeit, Datenstrategie und Kuenstliche Intelligenz","Berlin, Bonn, Frankfurt, Hamburg, Muenchen, Nuernberg, Wien",StepStone,rejected,drafts/Senacor Masterarbeit Datenstrategie Kuenstliche Intelligenz/
8/25/26,Fraunhofer-Institut fuer Produktionstechnologie IPT,"Bachelor or Masterarbeit, Deep Learning und Machine Learning in der Produktion, Kennziffer 8382",Aachen,Company Page,applied,drafts/Fraunhofer IPT Aachen Masterarbeit Deep Learning Machine Learning Produktion/
8/25/26,Fraunhofer-Institut fuer Produktionstechnik und Automatisierung IPA,"Studien or Abschlussarbeit, Prozessentwicklung fuer nachhaltigen Binder Jetting 3D Druck, Kennziffer 85106",Stuttgart,Company Page,rejected,drafts/Fraunhofer IPA Stuttgart Abschlussarbeit Binder Jetting 3D Druck/
8/25/26,Fraunhofer-Institut fuer Produktionstechnik und Automatisierung IPA,"Abschlussarbeit, Bewertungsmatrix fuer eine modulare On Demand Produktion von ATMP im Weltraum",Stuttgart,Company Page,applied,drafts/Fraunhofer IPA Stuttgart Abschlussarbeit Bewertungsmatrix ATMP Weltraum/
8/25/26,"Fraunhofer-Institut fuer Optronik, Systemtechnik und Bildauswertung IOSB","Abschlussarbeit, Training Data Anonymization for Object Detection and Pose Estimation, Kennziffer 85446",Karlsruhe,Company Page,applied,drafts/Fraunhofer IOSB Karlsruhe Abschlussarbeit Training Data Anonymization/
8/25/26,Fraunhofer-Institut fuer Sichere Informationstechnologie SIT,"Masterarbeit, Modellierungsansaetze und Loss Design fuer praezise Alterschaetzung, Kennziffer 82686",Darmstadt,Company Page,applied,drafts/Fraunhofer SIT Darmstadt Masterarbeit Alterschaetzung Loss Design/
8/25/26,dmTECH GmbH,"Werkstudent, IT Projektmanagement und PMO",Karlsruhe,JobTeaser,rejected,drafts/dmTECH Karlsruhe Werkstudent IT Projektmanagement PMO/
8/26/26,Reply Deutschland SE,"Werkstudent, fuer AI Data Engineering und Tool-Entwicklung",Duesseldorf or Berlin,JobTeaser,applied,drafts/Reply Duesseldorf Berlin Werkstudent AI Data Engineering Tool Entwicklung/
8/26/26,Rohde und Schwarz GmbH und Co. KG,"Werkstudent, Data Analytics und Data Science",Memmingen,Company Page,Not listed Anymore,drafts/Rohde Schwarz Memmingen Werkstudent Data Analytics Data Science/
8/26/26,Volkswagen Group,"Praktikum or Abschlussarbeit, Customer Data Analytics und AI",Wolfsburg,Company Page,applied,drafts/Volkswagen Wolfsburg Praktikum Abschlussarbeit Customer Data Analytics AI/
8/26/26,Kaufland,"Praktikant, Data Science",Heilbronn,Company Page,applied,drafts/Kaufland Heilbronn Praktikant Data Science/
8/27/26,Cinemo GmbH,"Working Student, GenAI / LLM Evaluation, Agentic AI / NLP",Karlsruhe,StepStone,applied,drafts/Cinemo Karlsruhe Working Student GenAI LLM Evaluation Agentic AI NLP/
8/27/26,SAP,"Working Student, Signavio Next Development, Agentic AI",Berlin,Company Page,Not listed Anymore,drafts/SAP Berlin Working Student Signavio Next Development Agentic AI/
8/27/26,Mercedes-Benz Group,"Werkstudent, Applied AI und Process Automation",Sindelfingen,Company Page,Not listed Anymore,drafts/Mercedes-Benz Group Sindelfingen Werkstudent Applied AI Process Automation/
8/27/26,Leopold KOSTAL GmbH und Co. KG,"Werkstudent, fuer KI Entwicklung, Artificial Intelligence Development",Luedenscheid,Company Page,Not listed Anymore,drafts/KOSTAL Luedenscheid Werkstudent KI Entwicklung Artificial Intelligence Development/
8/28/26,Isar Aerospace SE,"Working Student, AI Platform and Enablement",Parsdorf Bavaria,Company Page,applied,drafts/Isar Aerospace Parsdorf Working Student AI Platform Enablement/
8/28/26,Mercedes-Benz Tech Innovation GmbH,"Werkstudent AI Security, Research und Evaluation","Ulm, Karlsruhe, Stuttgart, Berlin",LinkedIn,Not listed Anymore,drafts/MBTI Ulm Werkstudent AI Security Research Evaluation/
8/28/26,Siemens Healthineers AG,Werkstudent KI gestuetzte Automatisierung bei Research und Development,Kemnath,LinkedIn,Not listed Anymore,drafts/Siemens Healthineers Kemnath Werkstudent KI Automatisierung Research Development/
9/5/26,Mercedes-Benz Tech Innovation,"Werkstudent, AI Agents and Robotics Platform",Ulm/Stuttgart/Karlsruhe,StepStone,applied,drafts/MBTI Ulm Stuttgart Karlsruhe Werkstudent AI Agents Robotics Platform/
9/5/26,Beilmann Marketing GmbH,"Werkstudent, KI Automatisierung und interne Tools",Berlin,Xing,applied,drafts/Beilmann Marketing Berlin Werkstudent KI Automatisierung interne Tools/
9/5/26,ETG-Elektronik GmbH,"Praktikant or Werkstudent, AI Systems and Generative AI",Weiterstadt,Other,applied,drafts/ETG-Elektronik Weiterstadt Praktikant Werkstudent AI Systems Generative AI/
9/6/26,Mi-Jack Europe GmbH,"Pflichtpraktikant, Entwicklung von AI Agents",Karlsruhe,StepStone,drafted,drafts/Mi-Jack Europe Karlsruhe Pflichtpraktikant AI Agents/
9/6/26,appliedAI Initiative GmbH,"Working Student, AI Engineering and Product Development",Munich/Heilbronn,Company Page,drafted,drafts/appliedAI Munich Heilbronn Working Student AI Engineering Product Development/
9/6/26,KontextWork GbR,"Werkstudent, KI Engineer Generative KI und LLM",Hannover,StepStone,drafted,drafts/KontextWork Hannover Werkstudent KI Engineer Generative KI LLM/
